issued_at,target_timestamp,location,parameter,horizon_hours,model,prediction,lower_bound,upper_bound,note
2025-01-02T23:00:00+07:00,2025-01-03T00:00:00+07:00,tien_river,river_ec_us_cm,1,persistence,644.4,,,Point forecast only; uncertainty interval will be considered after model calibration.
2025-01-02T23:00:00+07:00,2025-01-03T01:00:00+07:00,tien_river,river_ec_us_cm,2,persistence,644.4,,,Point forecast only; uncertainty interval will be considered after model calibration.
2025-01-02T23:00:00+07:00,2025-01-03T02:00:00+07:00,tien_river,river_ec_us_cm,3,persistence,644.4,,,Point forecast only; uncertainty interval will be considered after model calibration.
2025-01-02T23:00:00+07:00,2025-01-03T03:00:00+07:00,tien_river,river_ec_us_cm,4,persistence,644.4,,,Point forecast only; uncertainty interval will be considered after model calibration.
2025-01-02T23:00:00+07:00,2025-01-03T04:00:00+07:00,tien_river,river_ec_us_cm,5,random_forest,623.2811,,,Point forecast only; uncertainty interval will be considered after model calibration.
2025-01-02T23:00:00+07:00,2025-01-03T05:00:00+07:00,tien_river,river_ec_us_cm,6,random_forest,542.6219,,,Point forecast only; uncertainty interval will be considered after model calibration.
