timestamp,location,parameter,alert_type,severity,value,forecast,message,recommendation,status,acknowledged_at,acknowledged_by,source_method
2025-01-02T01:00:00+07:00,tien_river,river_ec_us_cm,sensor_review,warning,1112.8,,Nghi ngờ lỗi cảm biến: Giá trị lệch khỏi mức trung vị lịch sử dựa trên thang đo MAD. Bất thường EC đơn lẻ không kéo dài; có thể là lỗi cảm biến.,"Đối chiếu raw SCADA, lịch hiệu chuẩn/bảo trì và tín hiệu liên quan trước khi kết luận lỗi cảm biến. EC là độ dẫn điện; không coi đây là bằng chứng xâm nhập mặn nếu không có xác nhận độc lập.",open,,,rolling_robust_zscore
2025-01-02T02:00:00+07:00,tien_river,river_ec_us_cm,sensor_review,warning,1148.8,,Nghi ngờ lỗi cảm biến: Giá trị lệch khỏi mức trung vị lịch sử dựa trên thang đo MAD. Bất thường EC đơn lẻ không kéo dài; có thể là lỗi cảm biến.,"Đối chiếu raw SCADA, lịch hiệu chuẩn/bảo trì và tín hiệu liên quan trước khi kết luận lỗi cảm biến. EC là độ dẫn điện; không coi đây là bằng chứng xâm nhập mặn nếu không có xác nhận độc lập.",open,,,rolling_robust_zscore
2025-01-02T03:00:00+07:00,tien_river,river_ec_us_cm,sensor_review,warning,1237.2,,Nghi ngờ lỗi cảm biến: Giá trị lệch khỏi mức trung vị lịch sử dựa trên thang đo MAD. Bất thường EC đơn lẻ không kéo dài; có thể là lỗi cảm biến.,"Đối chiếu raw SCADA, lịch hiệu chuẩn/bảo trì và tín hiệu liên quan trước khi kết luận lỗi cảm biến. EC là độ dẫn điện; không coi đây là bằng chứng xâm nhập mặn nếu không có xác nhận độc lập.",open,,,rolling_robust_zscore
2025-01-02T04:00:00+07:00,tien_river,river_ec_us_cm,sensor_review,warning,1118.5,,Nghi ngờ lỗi cảm biến: Giá trị lệch khỏi mức trung vị lịch sử dựa trên thang đo MAD. Bất thường EC đơn lẻ không kéo dài; có thể là lỗi cảm biến.,"Đối chiếu raw SCADA, lịch hiệu chuẩn/bảo trì và tín hiệu liên quan trước khi kết luận lỗi cảm biến. EC là độ dẫn điện; không coi đây là bằng chứng xâm nhập mặn nếu không có xác nhận độc lập.",open,,,rolling_robust_zscore
2025-01-02T23:00:00+07:00,multi_location,multivariate_feature_set,anomaly_review,warning,,,Bất thường thống kê: Kết hợp đa biến bị cô lập khỏi phân phối dữ liệu thông thường.,Xem lại xu hướng lịch sử và các biến liên quan trước khi thực hiện bất kỳ hành động vận hành nào.,open,,,isolation_forest
