stage_order,location,parameter,non_missing_count,mean_ntu,median_ntu,latest_value_ntu,removal_efficiency_status,interpretation_limit
1,raw_water_pond,raw_water_turbidity_ntu,48,2.679,2.575,4.49,NOT_CALCULATED,Process travel time and sampling alignment are not factory-confirmed; same-hour statistics are not input/output removal pairs.
2,settling_basin,settling_turbidity_ntu,48,2.2985,2.14,4.46,NOT_CALCULATED,Process travel time and sampling alignment are not factory-confirmed; same-hour statistics are not input/output removal pairs.
3,filter_basin,filter_basin_turbidity_ntu,48,2.2785,2.2,1.48,NOT_CALCULATED,Process travel time and sampling alignment are not factory-confirmed; same-hour statistics are not input/output removal pairs.
4,storage_tank,storage_turbidity_ntu,48,2.4544,2.38,4.24,NOT_CALCULATED,Process travel time and sampling alignment are not factory-confirmed; same-hour statistics are not input/output removal pairs.
5,secondary_pump_station,secondary_turbidity_ntu,48,2.3073,2.295,3.39,NOT_CALCULATED,Process travel time and sampling alignment are not factory-confirmed; same-hour statistics are not input/output removal pairs.
